,State,District,Positive_cases
205,TELANGANA,SANGAREDDY,6
206,TELANGANA,SIDDIPET,1
207,TELANGANA,SURYAPET,1
208,TELANGANA,WARANGAL,22
209,TELANGANA,WARANGAL(RURAL),2
210,TELANGANA,YADADRI,52
211,UTTAR PRADESH,AGRA,44
212,UTTAR PRADESH,AZAMGARH,3
213,UTTAR PRADESH,BAGHPAT,2
214,UTTAR PRADESH,BANDA,1
215,UTTAR PRADESH,BAREILLY,6
216,UTTAR PRADESH,BASTI,5
217,UTTAR PRADESH,BULANDSHAHAR,3
218,UTTAR PRADESH,FIROZABAD,4
219,UTTAR PRADESH,GAUTAM BUDHA NAGAR,55
220,UTTAR PRADESH,GHAZIABAD,13
221,UTTAR PRADESH,GHAZIPUR,3
222,UTTAR PRADESH,HARDOI,1
223,UTTAR PRADESH,Hapur,1
224,UTTAR PRADESH,HATHRAS,4
225,UTTAR PRADESH,JAUNPUR,3
226,UTTAR PRADESH,KANPUR,7
227,UTTAR PRADESH,LAKHIMPUR KHERI,1
228,UTTAR PRADESH,LUCKNOW,10
229,UTTAR PRADESH,MAHARAJGANJ,6
230,UTTAR PRADESH,MEERUT,25
231,UTTAR PRADESH,MORADABAD,1
232,UTTAR PRADESH,PILIBHIT,2
233,UTTAR PRADESH,PRATAPGARH,3
234,UTTAR PRADESH,SAHARANPUR,13
235,UTTAR PRADESH,SHAHJAHANPUR,1
236,UTTAR PRADESH,SHAMLI,6
237,UTTAR PRADESH,VARANASI,4
238,UTTRAKHAND,DEHRADUN,11
239,UTTRAKHAND,UDHAMSINGH NAGAR,4
240,WEST BENGAL,HOOGHLY,4
